0,Audit Senior,Assistant Manager,Acting Financial Controller,Financial Controller,Senior Manager,,,,,,,,,,,,,,,
1,Assistant Director,Managing Director,"Director of Corporate Finance & Investments of Tune Group, CFO of Epsom College Malaysia",Director,Independent Director,"Head, Special Projects, Securities Market, Commercial & Development",Lead Independent Director,,,,,,,,,,,,,
3,Project Engineer,Lead Project Coordinator,Project Coordinator,HOD of Material Management,,,,,,,,,,,,,,,,
4,Warehouse Assistant,Safety Coordinator,Safety Coordinator,,,,,,,,,,,,,,,,,
7,QC Inspector,QC Inspector,QC Inspector,QA Inspector,QC Inspector,,,,,,,,,,,,,,,
8,Singapore Country Director and Senior Vice President - E&C - Asia Pacific,Senior Engineer - Mechanical,Engineering Manager,Manager Business Acquisition - Asia Pacific,Manager of Proposals and Contracts - Asia Pacific,Senior Manager Sales and Proposals - Asia Pacific,Director Sales - Asia Pacific,Vice President - Asia Pacific,Senior Vice President - Engineering and Construction - Asia Pacific,Regional Vice President - Business Development - Engineering and Construction - Asia Pacific,Chief Development Officer,,,,,,,,,
10,Regional Manager,Sales and Technical,,,,,,,,,,,,,,,,,,
12,Project Engineer,Design Engineer (Civil/Structural),Design Engineer (Static Equipments/Structural),Project Coordinator,Project Coordinator,Senior Project Coordinator / Mechanical Completions,Project Support / Mechanical Completions Lead,,,,,,,,,,,,,
15,Mechanical Engineer,Senior Mechanical Engineer,Senior Mechanical & Piping Engineer/Project Coordinator,Section Head (Mechanical),Technical Manager & Co-founder,,,,,,,,,,,,,,,
16,Qc Inspector,Quality Engineer,,,,,,,,,,,,,,,,,,
21,Meet the People Session (MPS) Volunteer,Logistics and Operations Head,3rd Sergeant,Intern,,,,,,,,,,,,,,,,
23,Internship,Engineer,Project Coordinator,Tender Executive,,,,,,,,,,,,,,,,
24,Accounts Executive,Accounts Assistant (Contract),Accountant,,,,,,,,,,,,,,,,,
25,CAS Intern (NUS internship program),Chemist,Chemist,,,,,,,,,,,,,,,,,
28,Associate Equipment Engineer,Assembly Technician,Engineer,,,,,,,,,,,,,,,,,
29,Sales Executive,"Divisional Manager - Copier, Facsimile & Micrographic",Regional Marketing Manager,General Manager /Director,Deputy Group Manager,Director of Sales and Marketing,Director,Director,Senior Manager,,,,,,,,,,,
32,Senior Structural Engineer,Senior Proposal Engineer,Project Engineer/ Interface Engineer,Proposal Manager,Manager of Proposals,"Snr. Manager, Proposals",Director - Tenders,"Director, Proposals & Business Development",,,,,,,,,,,,
33,Construction Manager,Project Manager,,,,,,,,,,,,,,,,,,
34,Quality Assurance Inspector / Technical Planning Enginner,Six Sigma Black Belt,Customer Service Manager,Quality Assurance Manager,Plant Operations Manager,Marketing Manager,Project Manager,Asst Project Director,Deputy General Manager (Commercial),"Vice President (Commercial, Shipbuilding)",Vice President Commercial,,,,,,,,,
35,Recruitment Consultant,Recruitment Consultant,,,,,,,,,,,,,,,,,,
36,Operations Manager,Operations Manager,Manager,Member,Project Director,,,,,,,,,,,,,,,
37,Document Controller /  Project Administrator,Subcontracting Executive cum Procurement Expeditor,,,,,,,,,,,,,,,,,,
38,Foreign Lawyer,Senior Associate,Partner,Senior Associate,,,,,,,,,,,,,,,,
39,"Corporate Finance, M&A and Corporate Advisory",General Manager,"Offshore Oil & Gas, Head of Business Development & IR",Chief Financial Officer,Chief Financial Officer,,,,,,,,,,,,,,,
41,QA/QC Welding Inspector,QA/QC Welding Inspector,,,,,,,,,,,,,,,,,,
42,Finance Manager,Senior Manager,Finance Manager,"Head, Finance and Accounts",CFO,Vice President (Finance),,,,,,,,,,,,,,
44,Design Engineer,Construction Engineer,Procurement Lead,Procurement Manager,,,,,,,,,,,,,,,,
45,Regional Sales Engineer,Account Manager,Private Client Service Manager,,,,,,,,,,,,,,,,,
